Processor,MOS transistor count,Date of introduction,Designer,MOS process,Area
"Dual-core Itanium 2 (64-bit, SIMD, large caches)","1,700,000,000[64]",2006,Intel,90 nm,596 mm²
"AMD K10 quad-core 2M L3 (64-bit, large caches)","463,000,000[65]",2007,AMD,65 nm,283 mm²
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)","26,000,000[66]",2007,ARM,45 nm,31 mm²
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)","411,000,000",2007,Intel,45 nm,107 mm²
"POWER6 (64-bit, large caches)","789,000,000",2007,IBM,65 nm,341 mm²
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches))","169,000,000",2007,Intel,65 nm,111 mm²
Uniphier,"250,000,000[67]",2007,Matsushita,45 nm,?
"SPARC64 VI (64-bit, SIMD, large caches)","540,000,000",2007[68],Fujitsu,90 nm,421 mm²
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)","230,000,000",2008,Intel,45 nm,83 mm²
"Core i7 (quad-core 64-bit, SIMD, large caches)","731,000,000",2008,Intel,45 nm,263 mm²
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)","758,000,000[65]",2008,AMD,45 nm,258 mm²
"Atom (32-bit, large cache)","47,000,000",2008,Intel,45 nm,24 mm²
"SPARC64 VII (64-bit, SIMD, large caches)","600,000,000",2008[69],Fujitsu,65 nm,445 mm²
"Six-core Xeon 7400 (64-bit, SIMD, large caches)","1,900,000,000",2008,Intel,45 nm,503 mm²
"Six-core Opteron 2400 (64-bit, SIMD, large caches)","904,000,000",2009,AMD,45 nm,346 mm²
"SPARC64 VIIIfx (64-bit, SIMD, large caches)","760,000,000[70]",2009,Fujitsu,45 nm,513 mm²
"16-core SPARC T3 (64-bit, SIMD, large caches)","1,000,000,000[71]",2010,Sun/Oracle,40 nm,377 mm²
Six-core Core i7 (Gulftown),"1,170,000,000",2010,Intel,32 nm,240 mm²
"8-core POWER7 32M L3 (64-bit, SIMD, large caches)","1,200,000,000",2010,IBM,45 nm,567 mm²
"Quad-core z196[72] (64-bit, very large caches)","1,400,000,000",2010,IBM,45 nm,512 mm²
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)","2,000,000,000[73]",2010,Intel,65 nm,699 mm²
"8-core Xeon Nehalem-EX (64-bit, SIMD, large caches)","2,300,000,000[74]",2010,Intel,45 nm,684 mm²
"SPARC64 IXfx (64-bit, SIMD, large caches)","1,870,000,000[75]",2011,Fujitsu,40 nm,484 mm²
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)","1,160,000,000",2011,Intel,32 nm,216 mm²
"Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP) (64-bit, SIMD, large caches)","2,270,000,000[76]",2011,Intel,32 nm,434 mm²
"10-core Xeon Westmere-EX (64-bit, SIMD, large caches)","2,600,000,000",2011,Intel,32 nm,512 mm²
"Atom ""Medfield"" (64-bit)","432,000,000[77]",2012,Intel,32 nm,64 mm²
"SPARC64 X (64-bit, SIMD, caches)","2,990,000,000[78]",2012,Fujitsu,28 nm,600 mm²
"8-core AMD Bulldozer (64-bitSIMD, caches)","1,200,000,000[79]",2012,AMD,32 nm,315 mm²
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)","1,303,000,000",2012,AMD,32 nm,246 mm²
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)","1,400,000,000",2012,Intel,22 nm,160 mm²
"8-core POWER7+ (64-bit, SIMD), 80 MB L3 cache)","2,100,000,000",2012,IBM,32 nm,567 mm²
"Six-core zEC12 (64-bit, SIMD, large caches)","2,750,000,000",2012,IBM,32 nm,597 mm²
"8-core Itanium Poulson (64-bit, SIMD, caches)","3,100,000,000",2012,Intel,32 nm,544 mm²
"61-core Xeon Phi (32-bit, 512-bit SIMD, caches)","5,000,000,000[80]",2012,Intel,22 nm,720 mm²
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)","1,000,000,000",2013,Apple,28 nm,102 mm²
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)","1,860,000,000",2013,Intel,22 nm,256 mm²
"12-core POWER8 (64-bit, SIMD, caches)","4,200,000,000",2013,IBM,22 nm,650 mm²
"Xbox One main SoC (64-bit, SIMD, caches)","5,000,000,000",2013,Microsoft/AMD,28 nm,363 mm²
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)","1,400,000,000[81]",2014,Intel,22 nm,177 mm²
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","2,000,000,000",2014,Apple,20 nm,89 mm²
"8-core Core i7 Haswell-E (64-bit, SIMD, caches)","2,600,000,000[82]",2014,Intel,22 nm,355 mm²
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,000,000,000[83]",2014,Apple,20 nm,128 mm²
"15-core Xeon Ivy Bridge-EX (64-bit, SIMD, caches)","4,310,000,000[84]",2014,Intel,22 nm,541 mm²
"18-core Xeon Haswell-E5 (64-bit, SIMD, caches)","5,560,000,000[85]",2014,Intel,22 nm,661 mm²
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)","1,750,000,000",2015,Intel,14 nm,122 mm²
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)","1,900,000,000[86]",2015,Intel,14 nm,133 mm²
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","> 2,000,000,000",2015,Apple,14 nm (Samsung),96 mm² (Samsung)
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","> 3,000,000,000",2015,Apple,16 nm,143.9 mm²
"IBM z13 (64-bit, caches)","3,990,000,000",2015,IBM,22 nm,678 mm²
IBM z13 Storage Controller,"7,100,000,000",2015,IBM,22 nm,678 mm²
"32-core SPARC M7 (64-bit, SIMD, caches)","10,000,000,000[87]",2015,Oracle,20 nm,
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,000,000,000[88][89]",2016,Qualcomm,10 nm,72.3 mm²
"10-core Core i7 Broadwell-E (64-bit, SIMD, caches)","3,200,000,000[90]",2016,Intel,14 nm,246 mm²[91]
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,300,000,000",2016,Apple,16 nm,125 mm²
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","4,000,000,000[92]",2016,Huawei,16 nm,110.00 mm2
"22-core Xeon Broadwell-E5 (64-bit, SIMD, caches)","7,200,000,000[93]",2016,Intel,14 nm,456 mm²
"72-core Xeon Phi (64-bit, 512-bit SIMD, caches)","8,000,000,000",2016,Intel,14 nm,683 mm²
"Zip CPU (32-bit, for FPGAs)","1,286 6-LUTs[94]",2016,Gisselquist Technology,,
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","5,300,000,000[95]",2017,Qualcomm,10 nm,94 mm²
"Qualcomm Snapdragon 850  (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","5,300,000,000[96]",2017,Qualcomm,10 nm,94 mm²
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","4,300,000,000",2017,Apple,10 nm,89.23 mm²
"Zeppelin SoC Ryzen (64-bit, SIMD, caches)","4,800,000,000[97]",2017,AMD,14 nm,192 mm²
"Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)","4,800,000,000[98]",2017,AMD,14 nm,213 mm²
"Ryzen 5 1600 X Ryzen (64-bit, SIMD, caches)","4,800,000,000[99]",2017,AMD,14 nm,213 mm²
"IBM z14 (64-bit, SIMD, caches)","6,100,000,000",2017,IBM,14 nm,696 mm²
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","5,500,000,000[100]",2017,Huawei,10 nm,96.72 mm2
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)","7,000,000,000[101]",2017,Microsoft/AMD,16 nm,360 mm²[101]
"28-core Xeon Platinum 8180 (64-bit, SIMD, caches)","8,000,000,000[102][disputed  – discuss]",2017,Intel,14 nm,
"POWER9 (64-bit, SIMD, caches)","8,000,000,000",2017,IBM,14 nm,695 mm²
IBM z14 Storage Controller (64-bit),"9,700,000,000",2017,IBM,14 nm,696 mm²
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)","250,000,000[103]",2017,SiFive,28 nm,~30 mm²
"SPARC64 XII (12-core 64-bit, SIMD, caches)","5,450,000,000[104]",2017,Fujitsu,20 nm,795 mm2
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","4,300,000,000[105]",2017,Apple,10 nm,96.40 mm2
"Centriq 2400 (64/32-bit, SIMD, caches)","18,000,000,000[106]",2017,Qualcomm,10 nm,398 mm2
"32-core AMD Epyc (64-bit, SIMD, caches)","19,200,000,000",2017,AMD,14 nm,768 mm2
"Qualcomm Snapdragon 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",,2018,Qualcomm,10 nm,
"Qualcomm Snapdragon 675 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",,2018,Qualcomm,11 nm,
"Qualcomm Snapdragon 855  (octa-core ARM64 ""mobile SoC"", SIMD, caches)",,2018,Qualcomm,7 nm,73.27 mm²
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)","8,500,000,000[107]",2018,Qualcomm,7 nm,112 mm²
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)","6,900,000,000[108][109]",2018,Apple,7 nm,83.27 mm2
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)","6,900,000,000[110]",2018,Huawei,7 nm,74.13 mm2
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)","5,500,000,000[111]",2018,Huawei,12 nm,
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","10,000,000,000[112]",2018,Apple,7 nm,122 mm2
Apple A13 (iPhone 11 Pro),"8,500,000,000[113][114]",2019,Apple,7 nm,
"Fujitsu A64FX (64/32-bit, SIMD, caches)","8,786,000,000[115]",2018[116],Fujitsu,7 nm,
GC2 IPU,"23,600,000,000",2018,Graphcore,16 nm,825 mm2
Tegra Xavier SoC (64/32-bit),"9,000,000,000[117]",2018,Nvidia,12 nm,350 mm²
"Samsung Exynos 9820 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",,2019,Samsung,8 nm,127 mm²
"AMD Epyc Rome (64-bit, SIMD, caches)","32,000,000,000[1]",2019,AMD,7 nm (TSMC),?
